bengali_root	english_root
সরি	Sorry
থ্যাংকস	Thanks
প্লিজ	Please
হেল্প	Help
আইডিয়া	Idea
প্রবলেম	Problem
সল্যুশন	Solution
চান্স	Chance
সিওর	Sure
শিওর	Sure
কনফিউজড	Confused
একচুয়ালি	Actually
বেসিক্যালি	Basically
টোটাল	Total
ফাইনাল	Final
রেজাল্ট	Result
রিয়েলি	Really
সিরিয়াস	Serious
সিম্পল	Simple
স্পেশাল	Special
রেগুলার	Regular
নরমাল	Normal
টাইম	Time
লেট	Late
আর্লি	Early
মর্নিং	Morning
নাইট	Night
অফিস	Office
মিটিং	Meeting
কানেকশন	Connection
কলিগ	Colleague
ম্যানেজার	Manager
স্টাফ	Staff
টিম	Team
প্রজেক্ট	Project
ফাইল	File
ডকুমেন্ট	Document
প্রেজেন্টেশন	Presentation
ইমেইল	Email
ইন্টারভিউ	Interview
স্যালারি	Salary
বোনাস	Bonus
স্কুল	School
কলেজ	College
ইউনিভার্সিটি	University
ভার্সিটি	Varsity
ক্লাস	Class
এক্সাম	Exam
সাবজেক্ট	Subject
টিচার	Teacher
স্টুডেন্ট	Student
অ্যাসাইনমেন্ট	Assignment
বাস	Bus
রিকশা	Rickshaw
ট্রেন	Train
টিকেট	Ticket
সিট	Seat
ড্রাইভার	Driver
লোকেশন	Location
কাশি	Cough
ঠান্ডা	Cold
এলার্জি	Allergy
ভাইরাস	Virus
ব্যাকটেরিয়া	Bacteria
গ্যাস্ট্রিক	Gastric
এসিডিটি	Acidity
আলসার	Ulcer
ডায়রিয়া	Diarrhea
কনসটিপেশন	Constipation
পাইলস	Piles
মাইগ্রেন	Migraine
প্রেসার	Pressure
হাই	High
লো	Low
হার্ট	Heart
লিভার	Liver
কিডনি	Kidney
স্কিন	Skin
বডি	Body
ওয়েট	Wait
ফ্যাট	Fat
মাসল	Muscle
বোনস	Bones
জয়েন্ট	Joint
নার্ভ	Nerve
ব্রেন	Brain
ডায়েট	Diet
চার্ট	Chart
প্রোটিন	Protein
কার্ব	Carb
কার্বোহাইড্রেট	Carbohydrate
ফাইবার	Fiber
ক্যালোরি	Calorie
নিউট্রিশন	Nutrition
অর্গানিক	Organic
হেলদি	Healthy
আনহেলদি	Unhealthy
ফাস্টফুড	Fastfood
জাঙ্কফুড	Junkfood
অয়েলি	Oily
স্পাইসি	Spicy
সুগার	Sugar
সল্ট	Salt
সালাদ	Salad
ফ্রুটস	Fruits
ভেজিটেবল	Vegetable
ব্রেকফাস্ট	Breakfast
লাঞ্চ	Lunch
ডিনার	Dinner
স্ন্যাকস	Snacks
ড্রিংকস	Drinks
অ্যালকোহল	Alcohol
